seed,p,n,k_star,p_edge,noise_scale,mu_scale,q_source,mu,mu_relative,K,K_multiplier,support,k_actual,S_recall,S_precision,C_inclusion,causal_precision,correlate_inclusion,fit_seconds
17,30,300,5,0.2,1.0,309.54934561823484,oracle,0.0,0.0,5,1.0,"[6, 16, 26, 27, 29]",5,0.6,0.6,0.4,1.0,0.0,0.7733519077301025
17,30,300,5,0.2,1.0,309.54934561823484,oracle,3.0954934561823486,0.01,5,1.0,"[4, 6, 22, 26, 27]",5,1.0,1.0,0.0,1.0,0.0,0.6444969177246094
17,30,300,5,0.2,1.0,309.54934561823484,oracle,4.704874811259834,0.01519911082952934,5,1.0,"[4, 6, 22, 26, 27]",5,1.0,1.0,0.0,1.0,0.0,0.6504247188568115
17,30,300,5,0.2,1.0,309.54934561823484,oracle,7.1509913695399145,0.023101297000831605,5,1.0,"[4, 6, 22, 26, 27]",5,1.0,1.0,0.0,1.0,0.0,0.6735560894012451
17,30,300,5,0.2,1.0,309.54934561823484,oracle,10.868871036664489,0.03511191734215131,5,1.0,"[4, 6, 22, 26, 27]",5,1.0,1.0,0.0,1.0,0.0,0.6425080299377441
17,30,300,5,0.2,1.0,309.54934561823484,oracle,16.5197175478125,0.0533669923120631,5,1.0,"[4, 6, 22, 26, 27]",5,1.0,1.0,0.0,1.0,0.0,0.604255199432373
17,30,300,5,0.2,1.0,309.54934561823484,oracle,25.108501788172287,0.08111308307896872,5,1.0,"[4, 6, 22, 26, 27]",5,1.0,1.0,0.0,1.0,0.0,0.6592130661010742
17,30,300,5,0.2,1.0,309.54934561823484,oracle,38.1626901441866,0.12328467394420659,5,1.0,"[4, 6, 22, 26, 27]",5,1.0,1.0,0.0,1.0,0.0,0.6808938980102539
17,30,300,5,0.2,1.0,309.54934561823484,oracle,58.00389570544791,0.1873817422860384,5,1.0,"[4, 6, 22, 26, 27]",5,1.0,1.0,0.0,1.0,0.0,0.6843140125274658
17,30,300,5,0.2,1.0,309.54934561823484,oracle,88.16076393715637,0.2848035868435802,5,1.0,"[4, 6, 22, 26, 27]",5,1.0,1.0,0.0,1.0,0.0,0.6932389736175537
17,30,300,5,0.2,1.0,309.54934561823484,oracle,133.9965221896813,0.43287612810830595,5,1.0,"[4, 6, 22, 26, 27]",5,1.0,1.0,0.0,1.0,0.0,0.707690954208374
17,30,300,5,0.2,1.0,309.54934561823484,oracle,203.66279915324532,0.6579332246575682,5,1.0,"[4, 6, 22, 26, 27]",5,1.0,1.0,0.0,1.0,0.0,0.7009639739990234
17,30,300,5,0.2,1.0,309.54934561823484,oracle,309.54934561823484,1.0,5,1.0,"[4, 6, 22, 26, 27]",5,1.0,1.0,0.0,1.0,0.0,0.7486763000488281
17,30,300,5,0.2,1.0,309.54934561823484,oracle,666.9038484765942,2.154434690031884,5,1.0,"[4, 6, 22, 26, 27]",5,1.0,1.0,0.0,1.0,0.0,0.7246978282928467
17,30,300,5,0.2,1.0,309.54934561823484,oracle,1436.8007860737414,4.641588833612778,5,1.0,"[4, 6, 22, 26, 27]",5,1.0,1.0,0.0,1.0,0.0,0.722855806350708
17,30,300,5,0.2,1.0,309.54934561823484,oracle,3095.4934561823484,10.0,5,1.0,"[4, 6, 22, 26, 27]",5,1.0,1.0,0.0,1.0,0.0,0.740778923034668
17,30,300,5,0.2,1.0,309.54934561823484,uniform,0.0,0.0,5,1.0,"[6, 16, 26, 27, 29]",5,0.6,0.6,0.4,1.0,0.0,0.8634002208709717
17,30,300,5,0.2,1.0,309.54934561823484,uniform,3.0954934561823486,0.01,5,1.0,"[6, 16, 26, 27, 29]",5,0.6,0.6,0.4,1.0,0.0,0.9098150730133057
17,30,300,5,0.2,1.0,309.54934561823484,uniform,4.704874811259834,0.01519911082952934,5,1.0,"[6, 16, 26, 27, 29]",5,0.6,0.6,0.4,1.0,0.0,0.9013411998748779
