seed,p,n,k_star,p_edge,noise_scale,mu_scale,q_source,mu,mu_relative,K,K_multiplier,support,k_actual,S_recall,S_precision,C_inclusion,causal_precision,correlate_inclusion,fit_seconds
9,30,300,5,0.2,1.0,465.08534263946945,oracle,0.0,0.0,5,1.0,"[1, 3, 5, 10, 16]",5,0.4,0.4,0.6,1.0,0.0,4.01636815071106
9,30,300,5,0.2,1.0,465.08534263946945,oracle,4.650853426394694,0.01,5,1.0,"[1, 5, 16, 18, 20]",5,0.8,0.8,0.2,1.0,0.0,3.9829349517822266
9,30,300,5,0.2,1.0,465.08534263946945,oracle,7.068883667966923,0.01519911082952934,5,1.0,"[1, 5, 16, 18, 20]",5,0.8,0.8,0.2,1.0,0.0,3.911581039428711
9,30,300,5,0.2,1.0,465.08534263946945,oracle,10.744074631047916,0.023101297000831605,5,1.0,"[1, 5, 16, 18, 20]",5,0.8,0.8,0.2,1.0,0.0,3.8950107097625732
9,30,300,5,0.2,1.0,465.08534263946945,oracle,16.33003810780317,0.03511191734215131,5,1.0,"[1, 5, 16, 18, 20]",5,0.8,0.8,0.2,1.0,0.0,3.9575090408325195
9,30,300,5,0.2,1.0,465.08534263946945,oracle,24.820205905093797,0.0533669923120631,5,1.0,"[1, 5, 16, 18, 20]",5,0.8,0.8,0.2,1.0,0.0,4.083143949508667
9,30,300,5,0.2,1.0,465.08534263946945,oracle,37.72450603632592,0.08111308307896872,5,1.0,"[1, 5, 16, 18, 20]",5,0.8,0.8,0.2,1.0,0.0,4.003058910369873
9,30,300,5,0.2,1.0,465.08534263946945,oracle,57.337894823536594,0.12328467394420659,5,1.0,"[1, 5, 16, 18, 20]",5,0.8,0.8,0.2,1.0,0.0,4.034785747528076
9,30,300,5,0.2,1.0,465.08534263946945,oracle,87.14850181548293,0.1873817422860384,5,1.0,"[1, 5, 16, 18, 20]",5,0.8,0.8,0.2,1.0,0.0,4.098970890045166
9,30,300,5,0.2,1.0,465.08534263946945,oracle,132.45797377209638,0.2848035868435802,5,1.0,"[1, 5, 16, 18, 20]",5,0.8,0.8,0.2,1.0,0.0,4.078387975692749
9,30,300,5,0.2,1.0,465.08534263946945,oracle,201.32434236169834,0.43287612810830595,5,1.0,"[1, 5, 16, 18, 20]",5,0.8,0.8,0.2,1.0,0.0,4.228633880615234
9,30,300,5,0.2,1.0,465.08534263946945,oracle,305.99509922375614,0.6579332246575682,5,1.0,"[1, 5, 16, 18, 20]",5,0.8,0.8,0.2,1.0,0.0,4.206442832946777
9,30,300,5,0.2,1.0,465.08534263946945,oracle,465.08534263946945,1.0,5,1.0,"[1, 5, 16, 18, 20]",5,0.8,0.8,0.2,1.0,0.0,4.048917055130005
9,30,300,5,0.2,1.0,465.08534263946945,oracle,1001.9959960078378,2.154434690031884,5,1.0,"[1, 5, 16, 18, 20]",5,0.8,0.8,0.2,1.0,0.0,4.156304121017456
9,30,300,5,0.2,1.0,465.08534263946945,oracle,2158.7349330723346,4.641588833612778,5,1.0,"[1, 5, 16, 18, 20]",5,0.8,0.8,0.2,1.0,0.0,4.090590000152588
9,30,300,5,0.2,1.0,465.08534263946945,oracle,4650.853426394695,10.0,5,1.0,"[1, 5, 16, 18, 20]",5,0.8,0.8,0.2,1.0,0.0,4.1225926876068115
