seed,p,n,k_star,p_edge,noise_scale,mu_scale,q_source,K_multiplier,K,mu_star,mu_star_relative,log_loss_star,auc_star,support,k_actual,S_recall,S_precision,C_inclusion,fit_seconds
16,30,300,5,0.2,1.0,877.1761601025967,oracle,1.0,5,8.771761601025966,0.01,0.06069310014758587,0.9977777777777778,"[4, 9, 14, 18, 24]",5,0.8,0.8,0.0,195.4570083618164
16,30,300,5,0.2,1.0,877.1761601025967,uniform,1.0,5,0.0,0.0,0.08655007818828978,0.9971111111111112,"[4, 5, 9, 18, 24]",5,0.8,0.8,0.2,184.42353892326355
16,30,300,5,0.2,1.0,877.1761601025967,adversarial,1.0,5,0.0,0.0,0.06728344235228954,0.9957777777777779,"[4, 5, 9, 18, 24]",5,0.8,0.8,0.2,181.02639389038086
16,30,300,5,0.2,1.0,877.1761601025967,pc,1.0,5,16.43667971718015,0.018738174228603837,0.05793033810931061,0.9984444444444444,"[3, 4, 24]",3,0.4,0.6666666666666666,0.3333333333333333,181.5938367843628
16,30,300,5,0.2,1.0,877.1761601025967,ges,1.0,5,202.6390699657909,0.23101297000831592,0.05970684172181416,0.9975555555555555,"[3, 4, 9, 24]",4,0.6,0.75,0.25,181.8817503452301
16,30,300,5,0.2,1.0,877.1761601025967,bootstrap_l1,1.0,5,30.799336828028054,0.03511191734215131,0.041645331701605295,0.9988888888888889,"[3, 4, 5, 9, 24]",5,0.6,0.6,0.4,186.14032244682312
16,30,300,5,0.2,1.0,877.1761601025967,oracle,1.5,8,8.771761601025966,0.01,0.056443365786903454,0.9984444444444444,"[1, 4, 5, 9, 18, 24]",6,0.8,0.6666666666666666,0.3333333333333333,408.61881470680237
16,30,300,5,0.2,1.0,877.1761601025967,uniform,1.5,8,0.0,0.0,0.07229142146575504,0.9986666666666666,"[1, 4, 5, 9, 18, 24]",6,0.8,0.6666666666666666,0.3333333333333333,413.4141323566437
16,30,300,5,0.2,1.0,877.1761601025967,adversarial,1.5,8,0.0,0.0,0.06459255365381668,0.9979999999999999,"[1, 4, 5, 9, 18, 24]",6,0.8,0.6666666666666666,0.3333333333333333,431.0431866645813
16,30,300,5,0.2,1.0,877.1761601025967,pc,1.5,8,8.771761601025966,0.01,0.12083256154257475,0.9933333333333334,"[3, 4, 10, 15, 17, 24, 28]",7,0.4,0.2857142857142857,0.7142857142857143,372.95661759376526
16,30,300,5,0.2,1.0,877.1761601025967,ges,1.5,8,8.771761601025966,0.01,0.05131105160286618,0.9991111111111112,"[4, 9, 18, 24]",4,0.8,1.0,0.0,453.0421633720398
16,30,300,5,0.2,1.0,877.1761601025967,bootstrap_l1,1.5,8,379.70861985412336,0.4328761281083058,0.055695453162715666,0.9984444444444444,"[0, 2, 3, 4, 5, 9, 24, 25]",8,0.6,0.375,0.5,433.93802857398987
16,30,300,5,0.2,1.0,877.1761601025967,oracle,2.0,10,8.771761601025966,0.01,0.06621388978176508,0.9982222222222221,"[1, 4, 9, 18, 24]",5,0.8,0.8,0.2,636.2650351524353
16,30,300,5,0.2,1.0,877.1761601025967,uniform,2.0,10,0.0,0.0,0.15964006682615156,0.9930000000000001,"[1, 4, 9, 18, 24]",5,0.8,0.8,0.2,608.529866695404
16,30,300,5,0.2,1.0,877.1761601025967,adversarial,2.0,10,0.0,0.0,0.09145450567726585,0.9966666666666667,"[1, 4, 9, 18, 24]",5,0.8,0.8,0.2,641.4467618465424
16,30,300,5,0.2,1.0,877.1761601025967,pc,2.0,10,16.43667971718015,0.018738174228603837,0.09245857470394908,0.9975555555555555,"[1, 3, 4, 9, 24]",5,0.6,0.6,0.4,611.1880450248718
16,30,300,5,0.2,1.0,877.1761601025967,ges,2.0,10,16.43667971718015,0.018738174228603837,0.07726297204905637,0.9977777777777778,"[4, 9, 14, 15, 18, 24, 26]",7,1.0,0.7142857142857143,0.14285714285714285,704.1136703491211
16,30,300,5,0.2,1.0,877.1761601025967,bootstrap_l1,2.0,10,379.70861985412336,0.4328761281083058,0.07873631576728946,0.9982222222222223,"[0, 2, 3, 4, 5, 9, 24, 25]",8,0.6,0.375,0.5,675.6926786899567
16,30,300,5,0.2,1.0,877.1761601025967,oracle,3.0,15,8.771761601025966,0.01,0.07718249861119167,0.9986666666666666,"[1, 4, 9, 18, 24]",5,0.8,0.8,0.2,1241.6068284511566
16,30,300,5,0.2,1.0,877.1761601025967,uniform,3.0,15,0.0,0.0,0.16247671055526486,0.9935555555555556,"[0, 1, 4, 5, 9, 18, 24, 25]",8,0.8,0.5,0.5,1288.156703710556
16,30,300,5,0.2,1.0,877.1761601025967,adversarial,3.0,15,0.0,0.0,0.08869305675234991,0.9946666666666667,"[0, 1, 4, 5, 9, 18, 24, 25]",8,0.8,0.5,0.5,1299.2190656661987
16,30,300,5,0.2,1.0,877.1761601025967,pc,3.0,15,16.43667971718015,0.018738174228603837,0.08495565073780484,0.9982222222222223,"[1, 2, 3, 4, 5, 9, 10, 17, 24, 25, 28]",11,0.6,0.2727272727272727,0.6363636363636364,1230.1757802963257
16,30,300,5,0.2,1.0,877.1761601025967,ges,3.0,15,8.771761601025966,0.01,0.06726808176468628,0.9966666666666667,"[4, 9, 18, 24, 25, 29]",6,0.8,0.6666666666666666,0.3333333333333333,1087.209088563919
16,30,300,5,0.2,1.0,877.1761601025967,bootstrap_l1,3.0,15,30.799336828028054,0.03511191734215131,0.10427716215039531,0.9968888888888889,"[0, 2, 3, 4, 5, 9, 12, 14, 24]",9,0.6,0.3333333333333333,0.4444444444444444,694.9330801963806
