q_name,parent_size,match_pct,in_pool_pct,mean_jacc,mean_gap,exact_is_Sstar_pct
vanilla,10,20.0,20.0,0.6433333333333333,2.8898020959147686,60.0
vanilla,50,40.0,40.0,0.7933333333333333,1.7518598813790276,60.0
vanilla,100,40.0,40.0,0.7933333333333333,1.7518598813790276,60.0
oracle@0.5,10,40.0,100.0,0.8,51.514637297072525,100.0
oracle@0.5,50,40.0,100.0,0.8,51.514637297072525,100.0
oracle@0.5,100,40.0,100.0,0.8,51.514637297072525,100.0
ges@0.5,10,20.0,80.0,0.7333333333333333,31.034121050038188,80.0
ges@0.5,50,20.0,80.0,0.7333333333333333,31.034121050038188,80.0
ges@0.5,100,20.0,80.0,0.7333333333333333,31.034121050038188,80.0
oracle@2.0,10,40.0,100.0,0.8,207.91144866192099,100.0
oracle@2.0,50,40.0,100.0,0.8,207.91144866192099,100.0
oracle@2.0,100,40.0,100.0,0.8,207.91144866192099,100.0
ges@2.0,10,40.0,80.0,0.7238095238095237,89.8388370171518,80.0
ges@2.0,50,40.0,80.0,0.7238095238095237,89.8388370171518,80.0
ges@2.0,100,40.0,80.0,0.7238095238095237,89.8388370171518,80.0
