seed,n,p_edge,q_source,paradigm,mu_star_rel,k_actual,S_recall,S_precision,correlate_inclusion,causal_precision,auc_star,stability_star,log_loss_star
0,300,0.2,oracle,control,0.01,10,0.8,0.4,0.1,0.9,0.9952000000000001,0.45143745143745145,0.10710490194498622
0,300,0.2,uniform,control,0.0,10,0.6,0.3,0.1,0.9,0.9952,0.4594017094017094,0.10797156327767399
0,300,0.2,adversarial,control,0.0,10,0.6,0.3,0.1,0.9,0.9948,0.47222222222222215,0.0928389771141424
0,300,0.2,ges,score,0.3162,7,0.8,0.5714285714285714,0.0,1.0,0.9985333333333334,0.5703703703703703,0.07314779824797227
0,300,0.2,bootstrap_l1,stability,0.01,10,0.8,0.4,0.1,0.9,0.9949333333333334,0.39814814814814814,0.09100026628257728
0,300,0.2,iamb,constraint-local,0.0562,9,0.8,0.4444444444444444,0.0,1.0,0.9977333333333332,0.7646464646464647,0.06540830071289082
0,300,0.2,pc_stable,constraint-global,0.0,10,0.6,0.3,0.1,0.9,0.9978666666666666,0.3908313908313908,0.062176052704843394
0,300,0.2,dagma,continuous-opt,0.01,9,0.6,0.3333333333333333,0.1111111111111111,0.8888888888888888,0.9982666666666665,0.6303030303030303,0.05011047408215686
0,300,0.2,gs,constraint-local,0.01,9,0.8,0.4444444444444444,0.1111111111111111,0.8888888888888888,0.9979999999999999,0.7380471380471381,0.06038961133130984
0,300,0.2,inter_iamb,constraint-local,0.0562,9,1.0,0.5555555555555556,0.0,1.0,0.9972,0.5555555555555555,0.07879838014271126
