seed,p,n,k_star,p_edge,mu_scale,q_source,mu,mu_relative,K,support,k_actual,S_recall,S_precision,C_inclusion,fit_seconds
4,30,300,5,0.6,6046.412035902705,oracle,0.0,0.0,10,"[8, 13, 14, 24, 26]",5,0.2,0.2,0.8,29.59940505027771
4,30,300,5,0.6,6046.412035902705,oracle,60.46412035902705,0.01,10,"[8, 24, 26, 27]",4,0.4,0.5,0.5,27.40785241127014
4,30,300,5,0.6,6046.412035902705,oracle,113.29872218667214,0.01873817422860384,10,"[8, 24, 26, 27]",4,0.4,0.5,0.5,27.579632997512817
4,30,300,5,0.6,6046.412035902705,oracle,212.30111962120458,0.03511191734215131,10,"[8, 24, 26, 27]",4,0.4,0.5,0.5,13.794090509414673
4,30,300,5,0.6,6046.412035902705,oracle,397.8135368389797,0.0657933224657568,10,"[8, 24, 26, 27]",4,0.4,0.5,0.5,13.180105447769165
4,30,300,5,0.6,6046.412035902705,oracle,745.4299363785913,0.12328467394420659,10,"[8, 24, 26, 27]",4,0.4,0.5,0.5,12.509701251983643
4,30,300,5,0.6,6046.412035902705,oracle,1396.799602307912,0.23101297000831592,10,"[8, 24, 26, 27]",4,0.4,0.5,0.5,12.920872926712036
4,30,300,5,0.6,6046.412035902705,oracle,2617.347431049021,0.4328761281083057,10,"[8, 24, 26, 27]",4,0.4,0.5,0.5,19.71951150894165
4,30,300,5,0.6,6046.412035902705,oracle,4904.431217978523,0.8111308307896868,10,"[8, 24, 26, 27]",4,0.4,0.5,0.5,26.532945156097412
4,30,300,5,0.6,6046.412035902705,oracle,9190.00866546853,1.5199110829529332,10,"[8, 24, 26, 27]",4,0.4,0.5,0.5,26.668429613113403
4,30,300,5,0.6,6046.412035902705,oracle,17220.398353592827,2.848035868435799,10,"[8, 24, 26, 27]",4,0.4,0.5,0.5,26.732914447784424
4,30,300,5,0.6,6046.412035902705,oracle,32267.882463558526,5.336699231206307,10,"[8, 24, 26, 27]",4,0.4,0.5,0.5,20.472225666046143
4,30,300,5,0.6,6046.412035902705,oracle,60464.120359027045,10.0,10,"[8, 24, 26, 27]",4,0.4,0.5,0.5,9.943576574325562
4,30,300,5,0.6,6046.412035902705,uniform,0.0,0.0,10,"[8, 13, 14, 24, 26]",5,0.2,0.2,0.8,10.711203336715698
4,30,300,5,0.6,6046.412035902705,uniform,60.46412035902705,0.01,10,"[8, 13, 14, 24, 26]",5,0.2,0.2,0.8,10.593258619308472
4,30,300,5,0.6,6046.412035902705,uniform,113.29872218667214,0.01873817422860384,10,"[8, 13, 14, 24, 26]",5,0.2,0.2,0.8,10.705767393112183
4,30,300,5,0.6,6046.412035902705,uniform,212.30111962120458,0.03511191734215131,10,"[8, 13, 14, 24, 26]",5,0.2,0.2,0.8,10.705085039138794
4,30,300,5,0.6,6046.412035902705,uniform,397.8135368389797,0.0657933224657568,10,"[8, 13, 14, 24, 26]",5,0.2,0.2,0.8,10.598251104354858
4,30,300,5,0.6,6046.412035902705,uniform,745.4299363785913,0.12328467394420659,10,"[8, 13, 14, 24, 26]",5,0.2,0.2,0.8,10.602235078811646
4,30,300,5,0.6,6046.412035902705,uniform,1396.799602307912,0.23101297000831592,10,"[8, 13, 14, 24, 26]",5,0.2,0.2,0.8,10.574334859848022
4,30,300,5,0.6,6046.412035902705,uniform,2617.347431049021,0.4328761281083057,10,"[8, 13, 14, 24, 26]",5,0.2,0.2,0.8,10.572049140930176
4,30,300,5,0.6,6046.412035902705,uniform,4904.431217978523,0.8111308307896868,10,"[8, 13, 14, 24, 26]",5,0.2,0.2,0.8,10.549684047698975
4,30,300,5,0.6,6046.412035902705,uniform,9190.00866546853,1.5199110829529332,10,"[8, 13, 14, 24, 26]",5,0.2,0.2,0.8,10.552708864212036
4,30,300,5,0.6,6046.412035902705,uniform,17220.398353592827,2.848035868435799,10,"[8, 13, 14, 24, 26]",5,0.2,0.2,0.8,10.560576915740967
4,30,300,5,0.6,6046.412035902705,uniform,32267.882463558526,5.336699231206307,10,"[8, 13, 14, 24, 26]",5,0.2,0.2,0.8,10.539915323257446
4,30,300,5,0.6,6046.412035902705,uniform,60464.120359027045,10.0,10,"[8, 13, 14, 24, 26]",5,0.2,0.2,0.8,10.533153533935547
4,30,300,5,0.6,6046.412035902705,adversarial,0.0,0.0,10,"[8, 13, 14, 24, 26]",5,0.2,0.2,0.8,10.61881422996521
4,30,300,5,0.6,6046.412035902705,adversarial,60.46412035902705,0.01,10,"[5, 13, 14, 24, 26]",5,0.0,0.0,1.0,9.464418888092041
4,30,300,5,0.6,6046.412035902705,adversarial,113.29872218667214,0.01873817422860384,10,"[5, 13, 14, 24, 26]",5,0.0,0.0,1.0,9.439397811889648
4,30,300,5,0.6,6046.412035902705,adversarial,212.30111962120458,0.03511191734215131,10,"[5, 13, 14, 24, 26]",5,0.0,0.0,1.0,9.446505308151245
4,30,300,5,0.6,6046.412035902705,adversarial,397.8135368389797,0.0657933224657568,10,"[5, 13, 14, 24, 26]",5,0.0,0.0,1.0,9.472941637039185
4,30,300,5,0.6,6046.412035902705,adversarial,745.4299363785913,0.12328467394420659,10,"[5, 13, 14, 24, 26]",5,0.0,0.0,1.0,9.482142925262451
4,30,300,5,0.6,6046.412035902705,adversarial,1396.799602307912,0.23101297000831592,10,"[5, 13, 14, 24, 26]",5,0.0,0.0,1.0,9.480859994888306
4,30,300,5,0.6,6046.412035902705,adversarial,2617.347431049021,0.4328761281083057,10,"[5, 13, 14, 24, 26]",5,0.0,0.0,1.0,9.472619771957397
4,30,300,5,0.6,6046.412035902705,adversarial,4904.431217978523,0.8111308307896868,10,"[5, 13, 14, 24, 26]",5,0.0,0.0,1.0,9.461593627929688
4,30,300,5,0.6,6046.412035902705,adversarial,9190.00866546853,1.5199110829529332,10,"[5, 13, 14, 24, 26]",5,0.0,0.0,1.0,9.451611518859863
4,30,300,5,0.6,6046.412035902705,adversarial,17220.398353592827,2.848035868435799,10,"[5, 13, 14, 24, 26]",5,0.0,0.0,1.0,9.454267978668213
4,30,300,5,0.6,6046.412035902705,adversarial,32267.882463558526,5.336699231206307,10,"[5, 13, 14, 24, 26]",5,0.0,0.0,1.0,9.431195974349976
4,30,300,5,0.6,6046.412035902705,adversarial,60464.120359027045,10.0,10,"[5, 13, 14, 24, 26]",5,0.0,0.0,1.0,9.433084964752197
4,30,300,5,0.6,6046.412035902705,pc,0.0,0.0,10,"[8, 13, 14, 24, 26]",5,0.2,0.2,0.8,10.565595149993896
4,30,300,5,0.6,6046.412035902705,pc,60.46412035902705,0.01,10,"[8, 22, 24]",3,0.2,0.3333333333333333,0.6666666666666666,10.063241004943848
4,30,300,5,0.6,6046.412035902705,pc,113.29872218667214,0.01873817422860384,10,"[8, 22, 24]",3,0.2,0.3333333333333333,0.6666666666666666,10.262869358062744
4,30,300,5,0.6,6046.412035902705,pc,212.30111962120458,0.03511191734215131,10,"[8, 22, 24]",3,0.2,0.3333333333333333,0.6666666666666666,10.24749493598938
4,30,300,5,0.6,6046.412035902705,pc,397.8135368389797,0.0657933224657568,10,"[8, 22, 24]",3,0.2,0.3333333333333333,0.6666666666666666,10.247820854187012
4,30,300,5,0.6,6046.412035902705,pc,745.4299363785913,0.12328467394420659,10,"[8, 22, 24]",3,0.2,0.3333333333333333,0.6666666666666666,10.314242362976074
4,30,300,5,0.6,6046.412035902705,pc,1396.799602307912,0.23101297000831592,10,"[8, 22, 24]",3,0.2,0.3333333333333333,0.6666666666666666,10.486495018005371
4,30,300,5,0.6,6046.412035902705,pc,2617.347431049021,0.4328761281083057,10,"[8, 22, 24]",3,0.2,0.3333333333333333,0.6666666666666666,10.227383375167847
4,30,300,5,0.6,6046.412035902705,pc,4904.431217978523,0.8111308307896868,10,"[8, 22, 24]",3,0.2,0.3333333333333333,0.6666666666666666,10.21677541732788
4,30,300,5,0.6,6046.412035902705,pc,9190.00866546853,1.5199110829529332,10,"[8, 22, 24]",3,0.2,0.3333333333333333,0.6666666666666666,10.199923276901245
4,30,300,5,0.6,6046.412035902705,pc,17220.398353592827,2.848035868435799,10,"[8, 22, 24]",3,0.2,0.3333333333333333,0.6666666666666666,10.270310163497925
4,30,300,5,0.6,6046.412035902705,pc,32267.882463558526,5.336699231206307,10,"[8, 22, 24]",3,0.2,0.3333333333333333,0.6666666666666666,10.366502285003662
4,30,300,5,0.6,6046.412035902705,pc,60464.120359027045,10.0,10,"[8, 22, 24]",3,0.2,0.3333333333333333,0.6666666666666666,10.361125469207764
4,30,300,5,0.6,6046.412035902705,ges,0.0,0.0,10,"[8, 13, 14, 24, 26]",5,0.2,0.2,0.8,10.733164072036743
4,30,300,5,0.6,6046.412035902705,ges,60.46412035902705,0.01,10,[8],1,0.2,1.0,0.0,9.540939807891846
