seed,p,n,k_star,p_edge,noise_scale,mu_scale,q_source,mu,mu_relative,K,support,k_actual,S_recall,S_precision,C_inclusion,fit_seconds
5,30,300,5,0.2,2.0,256.0399388238618,oracle,0.0,0.0,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,9.673791646957397
5,30,300,5,0.2,2.0,256.0399388238618,oracle,2.560399388238618,0.01,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,8.172351598739624
5,30,300,5,0.2,2.0,256.0399388238618,oracle,4.797720983162591,0.01873817422860384,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,8.08860731124878
5,30,300,5,0.2,2.0,256.0399388238618,oracle,8.990053168272913,0.03511191734215131,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,7.88580060005188
5,30,300,5,0.2,2.0,256.0399388238618,oracle,16.84571825915098,0.0657933224657568,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,7.50169825553894
5,30,300,5,0.2,2.0,256.0399388238618,oracle,31.565800374594403,0.12328467394420659,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,7.170002698898315
5,30,300,5,0.2,2.0,256.0399388238618,oracle,59.14854670844783,0.23101297000831592,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,7.212980508804321
5,30,300,5,0.2,2.0,256.0399388238618,oracle,110.83357735916076,0.4328761281083057,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,7.2012622356414795
5,30,300,5,0.2,2.0,256.0399388238618,oracle,207.68188829353963,0.8111308307896868,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,7.40912127494812
5,30,300,5,0.2,2.0,256.0399388238618,oracle,389.1579406969786,1.5199110829529332,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,7.779686450958252
5,30,300,5,0.2,2.0,256.0399388238618,oracle,729.2109295224661,2.848035868435799,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,7.100940704345703
