seed,p,n,k_star,p_edge,noise_scale,mu_scale,q_source,mu,mu_relative,K,support,k_actual,S_recall,S_precision,C_inclusion,fit_seconds
6,30,300,5,0.7,1.0,4575.619729662513,oracle,0.0,0.0,10,"[3, 10, 20]",3,0.0,0.0,1.0,10.574913024902344
6,30,300,5,0.7,1.0,4575.619729662513,oracle,45.75619729662513,0.01,10,"[3, 10, 20]",3,0.0,0.0,1.0,9.829913139343262
6,30,300,5,0.7,1.0,4575.619729662513,oracle,85.73875969825338,0.01873817422860384,10,"[3, 10, 20]",3,0.0,0.0,1.0,10.109165906906128
6,30,300,5,0.7,1.0,4575.619729662513,oracle,160.65878173702689,0.03511191734215131,10,"[3, 10, 20]",3,0.0,0.0,1.0,9.408804893493652
6,30,300,5,0.7,1.0,4575.619729662513,oracle,301.0452243543647,0.0657933224657568,10,"[3, 10, 20]",3,0.0,0.0,1.0,9.877097606658936
6,30,300,5,0.7,1.0,4575.619729662513,oracle,564.1037864641216,0.12328467394420659,10,"[3, 10, 20]",3,0.0,0.0,1.0,9.913929224014282
6,30,300,5,0.7,1.0,4575.619729662513,oracle,1057.0275033779847,0.23101297000831592,10,"[3, 10, 20]",3,0.0,0.0,1.0,9.862658023834229
6,30,300,5,0.7,1.0,4575.619729662513,oracle,1980.6765522722812,0.4328761281083057,10,"[3, 10, 20]",3,0.0,0.0,1.0,10.377114534378052
6,30,300,5,0.7,1.0,4575.619729662513,oracle,3711.426232698837,0.8111308307896868,10,"[3, 10, 20]",3,0.0,0.0,1.0,10.324998617172241
6,30,300,5,0.7,1.0,4575.619729662513,oracle,6954.535138492158,1.5199110829529332,10,"[3, 10, 20]",3,0.0,0.0,1.0,10.109052419662476
6,30,300,5,0.7,1.0,4575.619729662513,oracle,13031.529110401352,2.848035868435799,10,"[3, 10, 20]",3,0.0,0.0,1.0,9.608752489089966
6,30,300,5,0.7,1.0,4575.619729662513,oracle,24418.706293582345,5.336699231206307,10,"[3, 10, 20]",3,0.0,0.0,1.0,9.305070638656616
6,30,300,5,0.7,1.0,4575.619729662513,oracle,45756.197296625134,10.0,10,"[3, 10, 20]",3,0.0,0.0,1.0,9.200019121170044
6,30,300,5,0.7,1.0,4575.619729662513,uniform,0.0,0.0,10,"[3, 10, 20]",3,0.0,0.0,1.0,9.871168851852417
6,30,300,5,0.7,1.0,4575.619729662513,uniform,45.75619729662513,0.01,10,"[3, 10, 20]",3,0.0,0.0,1.0,10.529808282852173
6,30,300,5,0.7,1.0,4575.619729662513,uniform,85.73875969825338,0.01873817422860384,10,"[3, 10, 20]",3,0.0,0.0,1.0,9.892759084701538
6,30,300,5,0.7,1.0,4575.619729662513,uniform,160.65878173702689,0.03511191734215131,10,"[3, 10, 20]",3,0.0,0.0,1.0,9.783069372177124
6,30,300,5,0.7,1.0,4575.619729662513,uniform,301.0452243543647,0.0657933224657568,10,"[3, 10, 20]",3,0.0,0.0,1.0,10.618362665176392
6,30,300,5,0.7,1.0,4575.619729662513,uniform,564.1037864641216,0.12328467394420659,10,"[3, 10, 20]",3,0.0,0.0,1.0,10.289441585540771
6,30,300,5,0.7,1.0,4575.619729662513,uniform,1057.0275033779847,0.23101297000831592,10,"[3, 10, 20]",3,0.0,0.0,1.0,10.200260877609253
6,30,300,5,0.7,1.0,4575.619729662513,uniform,1980.6765522722812,0.4328761281083057,10,"[3, 10, 20]",3,0.0,0.0,1.0,10.19582486152649
6,30,300,5,0.7,1.0,4575.619729662513,uniform,3711.426232698837,0.8111308307896868,10,"[3, 10, 20]",3,0.0,0.0,1.0,10.310547351837158
6,30,300,5,0.7,1.0,4575.619729662513,uniform,6954.535138492158,1.5199110829529332,10,"[3, 10, 20]",3,0.0,0.0,1.0,11.235937118530273
6,30,300,5,0.7,1.0,4575.619729662513,uniform,13031.529110401352,2.848035868435799,10,"[3, 10, 20]",3,0.0,0.0,1.0,11.2086923122406
6,30,300,5,0.7,1.0,4575.619729662513,uniform,24418.706293582345,5.336699231206307,10,"[3, 10, 20]",3,0.0,0.0,1.0,10.871964931488037
