seed,p,n,k_star,p_edge,noise_scale,mu_scale,q_source,mu,mu_relative,K,support,k_actual,S_recall,S_precision,C_inclusion,fit_seconds
5,30,300,5,0.2,0.5,64.00998470596545,oracle,0.0,0.0,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,9.297953605651855
5,30,300,5,0.2,0.5,64.00998470596545,oracle,0.6400998470596545,0.01,10,"[2, 4, 7, 14, 20, 22, 27]",7,1.0,0.7142857142857143,0.2857142857142857,7.8366169929504395
5,30,300,5,0.2,0.5,64.00998470596545,oracle,1.1994302457906478,0.01873817422860384,10,"[2, 4, 7, 14, 20, 22, 27]",7,1.0,0.7142857142857143,0.2857142857142857,8.141518592834473
5,30,300,5,0.2,0.5,64.00998470596545,oracle,2.2475132920682284,0.03511191734215131,10,"[2, 4, 7, 14, 20, 22, 27]",7,1.0,0.7142857142857143,0.2857142857142857,7.394348621368408
5,30,300,5,0.2,0.5,64.00998470596545,oracle,4.211429564787745,0.0657933224657568,10,"[2, 4, 7, 14, 20, 22, 27]",7,1.0,0.7142857142857143,0.2857142857142857,7.617883205413818
5,30,300,5,0.2,0.5,64.00998470596545,oracle,7.891450093648601,0.12328467394420659,10,"[2, 4, 7, 14, 20, 22, 27]",7,1.0,0.7142857142857143,0.2857142857142857,7.0445334911346436
5,30,300,5,0.2,0.5,64.00998470596545,oracle,14.787136677111958,0.23101297000831592,10,"[2, 4, 7, 14, 20, 22, 27]",7,1.0,0.7142857142857143,0.2857142857142857,7.082585573196411
5,30,300,5,0.2,0.5,64.00998470596545,oracle,27.70839433979019,0.4328761281083057,10,"[2, 4, 7, 14, 20, 22, 27]",7,1.0,0.7142857142857143,0.2857142857142857,7.756340742111206
5,30,300,5,0.2,0.5,64.00998470596545,oracle,51.92047207338491,0.8111308307896868,10,"[2, 4, 7, 14, 20, 22, 27]",7,1.0,0.7142857142857143,0.2857142857142857,7.113784074783325
5,30,300,5,0.2,0.5,64.00998470596545,oracle,97.28948517424465,1.5199110829529332,10,"[2, 4, 7, 14, 20, 22, 27]",7,1.0,0.7142857142857143,0.2857142857142857,7.327379465103149
5,30,300,5,0.2,0.5,64.00998470596545,oracle,182.30273238061653,2.848035868435799,10,"[2, 4, 7, 14, 20, 22, 27]",7,1.0,0.7142857142857143,0.2857142857142857,7.3181962966918945
5,30,300,5,0.2,0.5,64.00998470596545,oracle,341.6020361698533,5.336699231206307,10,"[2, 4, 7, 14, 20, 22, 27]",7,1.0,0.7142857142857143,0.2857142857142857,7.415531396865845
5,30,300,5,0.2,0.5,64.00998470596545,oracle,640.0998470596545,10.0,10,"[2, 4, 7, 14, 20, 22, 27]",7,1.0,0.7142857142857143,0.2857142857142857,7.666744232177734
5,30,300,5,0.2,0.5,64.00998470596545,uniform,0.0,0.0,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,9.599142074584961
5,30,300,5,0.2,0.5,64.00998470596545,uniform,0.6400998470596545,0.01,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,9.612249851226807
5,30,300,5,0.2,0.5,64.00998470596545,uniform,1.1994302457906478,0.01873817422860384,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,9.507430791854858
5,30,300,5,0.2,0.5,64.00998470596545,uniform,2.2475132920682284,0.03511191734215131,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,9.755661487579346
5,30,300,5,0.2,0.5,64.00998470596545,uniform,4.211429564787745,0.0657933224657568,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,8.544480562210083
