corruption,S_precision,S_prec_sem,recall,auc,auc_sem,mu_rel
0.0,0.5911309523809524,0.037216506925492235,0.93,0.9965555555555555,0.0005604463087372917,0.01
0.1,0.6472420634920635,0.03025215100063511,0.95,0.9972111111111112,0.0008688494030901778,0.4329
0.2,0.6802777777777778,0.03828911197622177,0.9400000000000001,0.9977,0.00046257605665137096,0.17715
0.3,0.6926785714285715,0.028932934073232334,0.97,0.9973888888888889,0.0005558770999307577,0.231
0.4,0.6867261904761904,0.03326635116515274,0.95,0.9976777777777779,0.00046009717311341387,0.1233
0.5,0.6996230158730159,0.02820506893850056,0.97,0.9978,0.0004945183596765413,0.4329
0.6,0.6144642857142857,0.02629550777977566,0.8699999999999999,0.9973444444444445,0.0005939865427730254,0.231
0.7,0.572936507936508,0.04425203569935682,0.8099999999999999,0.9972,0.00045894474547837735,0.050449999999999995
0.8,0.49434523809523806,0.03700480814579858,0.74,0.9966888888888888,0.0006926514865871218,0.0351
0.9,0.536031746031746,0.052938983144766305,0.73,0.9966555555555555,0.0005242588134154659,0.0351
1.0,0.4628373015873016,0.04751921687944287,0.6900000000000001,0.9960777777777778,0.0005330591400432252,0.01
