seed,p,n,k_star,p_edge,K,parent_size,q_name,mu_rel,mu,k_exact,k_beam,beam_match,jaccard,map_in_pool,pool_size,obj_gap,exact_is_Sstar,beam_recovers_Sstar,S_exact,S_beam
0,16,100,3,0.2,4,10,vanilla,0.0,0.0,4,4,0,0.6,0,1,0.024330434185648286,0,0,"[1, 9, 10, 15]","[1, 7, 9, 15]"
0,16,100,3,0.2,4,50,vanilla,0.0,0.0,4,4,0,0.6,0,1,0.024330434185648286,0,0,"[1, 9, 10, 15]","[1, 7, 9, 15]"
0,16,100,3,0.2,4,10,oracle@0.5,0.5,22.321754026030302,4,4,0,0.6,0,2,21.940483108978817,0,0,"[1, 5, 7, 15]","[1, 7, 9, 15]"
0,16,100,3,0.2,4,50,oracle@0.5,0.5,22.321754026030302,4,4,0,0.6,0,2,21.940483108978817,0,0,"[1, 5, 7, 15]","[1, 7, 9, 15]"
0,16,100,3,0.2,4,10,ges@0.5,0.5,22.321754026030302,4,3,0,0.4,0,10,12.052316796931748,0,0,"[1, 5, 11, 15]","[1, 9, 15]"
0,16,100,3,0.2,4,50,ges@0.5,0.5,22.321754026030302,4,3,0,0.4,0,10,12.052316796931748,0,0,"[1, 5, 11, 15]","[1, 9, 15]"
0,16,100,3,0.2,4,10,oracle@2.0,2.0,89.28701610412121,4,4,0,0.6,0,2,88.9057451870697,0,0,"[1, 5, 7, 15]","[1, 7, 9, 15]"
0,16,100,3,0.2,4,50,oracle@2.0,2.0,89.28701610412121,4,4,0,0.6,0,2,88.9057451870697,0,0,"[1, 5, 7, 15]","[1, 7, 9, 15]"
0,16,100,3,0.2,4,10,ges@2.0,2.0,89.28701610412121,4,3,0,0.4,0,10,52.23147404378628,0,0,"[1, 5, 11, 15]","[1, 9, 15]"
0,16,100,3,0.2,4,50,ges@2.0,2.0,89.28701610412121,4,3,0,0.4,0,10,52.23147404378628,0,0,"[1, 5, 11, 15]","[1, 9, 15]"
