q_name,parent_size,match_pct,in_pool_pct,mean_jacc,mean_gap,exact_is_Sstar_pct
vanilla,10,0.0,0.0,0.6,0.024330434185648286,0.0
vanilla,50,0.0,0.0,0.6,0.024330434185648286,0.0
oracle@0.5,10,0.0,0.0,0.6,21.940483108978817,0.0
oracle@0.5,50,0.0,0.0,0.6,21.940483108978817,0.0
ges@0.5,10,0.0,0.0,0.4,12.052316796931748,0.0
ges@0.5,50,0.0,0.0,0.4,12.052316796931748,0.0
oracle@2.0,10,0.0,0.0,0.6,88.9057451870697,0.0
oracle@2.0,50,0.0,0.0,0.6,88.9057451870697,0.0
ges@2.0,10,0.0,0.0,0.4,52.23147404378628,0.0
ges@2.0,50,0.0,0.0,0.4,52.23147404378628,0.0
