seed,arm,mu_rel,auc_source,auc_SD
0,vanilla,0.0,0.9466572221046176,0.7092894524959743
0,causal,1.0,0.9466572221046176,0.7092894524959743
0,causal,4.0,0.9466572221046176,0.7092894524959743
0,cfs_iamb,,0.645749313821809,0.633527302005563
0,cfs_hiton_mb,,0.645749313821809,0.633527302005563
0,cfs_cg,,0.85823386689681,0.5256368028107159
1,vanilla,0.0,0.9506011929067258,0.6588198561703996
1,causal,1.0,0.9484246485445954,0.6810610635338896
1,causal,4.0,0.9484246485445954,0.6810610635338896
1,cfs_iamb,,0.6703501429154757,0.6122456448543404
1,cfs_hiton_mb,,0.6703501429154757,0.6122456448543404
1,cfs_cg,,0.8987068336930525,0.5492973210364515
