seed,p,n,k_star,p_edge,mu_scale,q_source,mu,mu_relative,K,support,k_actual,S_recall,S_precision,C_inclusion,fit_seconds
3,30,300,5,0.5,2197.356621869396,oracle,0.0,0.0,10,"[3, 19, 20, 24]",4,0.2,0.25,0.75,27.66041612625122
3,30,300,5,0.5,2197.356621869396,oracle,21.97356621869396,0.01,10,"[1, 3, 19, 20, 24]",5,0.4,0.4,0.6,25.556010961532593
3,30,300,5,0.5,2197.356621869396,oracle,41.17445122296511,0.01873817422860384,10,"[1, 3, 19, 20, 24]",5,0.4,0.4,0.6,26.52436876296997
3,30,300,5,0.5,2197.356621869396,oracle,77.15340407830705,0.03511191734215131,10,"[1, 3, 19, 20, 24]",5,0.4,0.4,0.6,24.123526334762573
3,30,300,5,0.5,2197.356621869396,oracle,144.57139279491918,0.0657933224657568,10,"[1, 3, 19, 20, 24]",5,0.4,0.4,0.6,23.558310985565186
3,30,300,5,0.5,2197.356621869396,oracle,270.90039466631174,0.12328467394420659,10,"[1, 3, 19, 20, 24]",5,0.4,0.4,0.6,23.579086780548096
3,30,300,5,0.5,2197.356621869396,oracle,507.6178793854891,0.23101297000831592,10,"[1, 3, 19, 20, 24]",5,0.4,0.4,0.6,23.62956404685974
3,30,300,5,0.5,2197.356621869396,oracle,951.1832265479705,0.4328761281083057,10,"[1, 3, 19, 20, 24]",5,0.4,0.4,0.6,25.243298053741455
3,30,300,5,0.5,2197.356621869396,oracle,1782.343702238143,0.8111308307896868,10,"[1, 3, 19, 20, 24]",5,0.4,0.4,0.6,25.712743043899536
3,30,300,5,0.5,2197.356621869396,oracle,3339.7866827793123,1.5199110829529332,10,"[1, 3, 19, 20, 24]",5,0.4,0.4,0.6,24.051374912261963
3,30,300,5,0.5,2197.356621869396,oracle,6258.150474828959,2.848035868435799,10,"[1, 3, 19, 20, 24]",5,0.4,0.4,0.6,24.791770935058594
3,30,300,5,0.5,2197.356621869396,oracle,11726.631394616492,5.336699231206307,10,"[1, 3, 19, 20, 24]",5,0.4,0.4,0.6,23.4252507686615
3,30,300,5,0.5,2197.356621869396,oracle,21973.56621869396,10.0,10,"[1, 3, 19, 20, 24]",5,0.4,0.4,0.6,23.608913898468018
3,30,300,5,0.5,2197.356621869396,uniform,0.0,0.0,10,"[3, 19, 20, 24]",4,0.2,0.25,0.75,26.703272819519043
3,30,300,5,0.5,2197.356621869396,uniform,21.97356621869396,0.01,10,"[3, 19, 20, 24]",4,0.2,0.25,0.75,26.850204944610596
3,30,300,5,0.5,2197.356621869396,uniform,41.17445122296511,0.01873817422860384,10,"[3, 19, 20, 24]",4,0.2,0.25,0.75,27.00268793106079
3,30,300,5,0.5,2197.356621869396,uniform,77.15340407830705,0.03511191734215131,10,"[3, 19, 20, 24]",4,0.2,0.25,0.75,27.047797918319702
