seed,p,n,k_star,p_edge,mu_scale,q_source,mu,mu_relative,K,support,k_actual,S_recall,S_precision,C_inclusion,fit_seconds
2,30,300,5,0.4,910.2343866516436,oracle,0.0,0.0,10,"[5, 8, 11, 13, 22]",5,0.2,0.2,0.8,23.771677017211914
2,30,300,5,0.4,910.2343866516436,oracle,9.102343866516437,0.01,10,"[2, 5, 8, 10, 13, 16, 22, 29]",8,0.8,0.5,0.5,25.114062070846558
2,30,300,5,0.4,910.2343866516436,oracle,17.05613052594485,0.01873817422860384,10,"[2, 5, 8, 10, 13, 16, 22, 29]",8,0.8,0.5,0.5,21.813712120056152
2,30,300,5,0.4,910.2343866516436,oracle,31.960074546096305,0.03511191734215131,10,"[2, 5, 8, 10, 13, 16, 22, 29]",8,0.8,0.5,0.5,22.021137237548828
2,30,300,5,0.4,910.2343866516436,oracle,59.88734452039194,0.0657933224657568,10,"[2, 5, 8, 10, 13, 16, 22, 29]",8,0.8,0.5,0.5,23.83532404899597
2,30,300,5,0.4,910.2343866516436,oracle,112.21794957115274,0.12328467394420659,10,"[2, 8, 13, 16, 22, 29]",6,0.6,0.5,0.5,28.294241905212402
2,30,300,5,0.4,910.2343866516436,oracle,210.27594906409396,0.23101297000831592,10,"[2, 8, 13, 16, 22, 29]",6,0.6,0.5,0.5,27.66920804977417
2,30,300,5,0.4,910.2343866516436,oracle,394.018736964802,0.4328761281083057,10,"[2, 8, 13, 16, 22, 29]",6,0.6,0.5,0.5,26.413492918014526
2,30,300,5,0.4,910.2343866516436,oracle,738.3191742580888,0.8111308307896868,10,"[2, 8, 13, 16, 22, 29]",6,0.6,0.5,0.5,25.2274968624115
2,30,300,5,0.4,910.2343866516436,oracle,1383.4753323566986,1.5199110829529332,10,"[2, 8, 13, 16, 22, 29]",6,0.6,0.5,0.5,26.394917249679565
2,30,300,5,0.4,910.2343866516436,oracle,2592.3801818675406,2.848035868435799,10,"[2, 8, 13, 16, 22, 29]",6,0.6,0.5,0.5,27.693058013916016
2,30,300,5,0.4,910.2343866516436,oracle,4857.64715146137,5.336699231206307,10,"[2, 8, 13, 16, 22, 29]",6,0.6,0.5,0.5,26.108547925949097
