auc_vanilla,auc_causal,auc_iamb_soft_cg,auc_iamb_soft_fz,auc_cfs_iamb,auc_cfs_hiton_mb,auc_cfs_cg
0.6883653152503246,0.7028092787636865,0.7140502412670932,0.7169691723176069,0.7373619327017105,0.7225652863944597,0.6000634829029
0.6526475256095802,0.6526475256095802,0.6553202199458151,0.6588835986469807,0.7290171371775758,0.7290171371775758,0.5155032943779156
0.6405947514387854,0.626332900495359,0.6549021305246959,0.65782298529954,0.6763404350823193,0.6680511069430417,0.5097702752528895
0.6579688677279213,0.6935712339088476,0.6721912823225765,0.7187139902851921,0.7474864938520978,0.7309078375735425,0.5934192596867536
0.6855836098687056,0.6855836098687056,0.699763061286651,0.6855836098687056,0.6854723544782699,0.7247156895750172,0.4964138572275926
0.6997983295660397,0.6612924221292422,0.7027057182705718,0.7327776976225973,0.7506721813430802,0.7506721813430802,0.6006309815803396
0.7336077846711232,0.7472348065855496,0.7405880184036295,0.756203530034146,0.7288959425447666,0.7465271966527196,0.6043594799531894
0.7048253418618445,0.6999541512367944,0.7025107808717677,0.7048253418618445,0.7104855800830409,0.7445313326600299,0.5952083233139358
0.6946193430481412,0.7101623943955497,0.6905795219545038,0.7447374917840941,0.7539540550505779,0.730658715272768,0.513169175523814
0.6844062905785601,0.715294249667356,0.706601580660158,0.7218592795652383,0.7475034867503486,0.7475034867503486,0.5999775565494798
0.6910056268936661,0.7146805816059892,0.6990413440420654,0.7321229901088507,0.7602138540213854,0.7574619663668862,0.6043594799531894
0.7316410971641097,0.7275397168919028,0.7215187803587746,0.7443623655396848,0.742278010227801,0.7397540839064429,0.5768861315506821
0.6847253081966687,0.6892293880953525,0.6847253081966687,0.7427490020680036,0.7092268231295789,0.7102941695121754,0.6125327433912053
0.674068516648231,0.7203132464451177,0.6918408438737396,0.7023591272703955,0.7401458824283813,0.7401458824283813,0.4870373042209718
0.7226557014379841,0.698182401128585,0.7226557014379841,0.7568210455441735,0.7473643373571234,0.7423703489956555,0.5229452219496947
0.7011981596370573,0.7048631751070072,0.6911277833886404,0.7608037961493452,0.7539883614678017,0.7539883614678017,0.6018150339056414
0.6371907212363134,0.6654826143413649,0.6855499446929256,0.6927299251350616,0.7253088379101942,0.7253088379101942,0.6066801327369786
0.6838577085237019,0.6695419932990269,0.6838577085237019,0.7146276791869057,0.7355783196267975,0.7355783196267975,0.5774462559515221
0.6984193398419339,0.7102082431587552,0.6999499831674122,0.715307715737668,0.717148078680325,0.7072460283108098,0.5934192596867536
0.7001558216707546,0.7039340162554706,0.7163285721156158,0.7177768159156127,0.7253072348065857,0.7207999487006844,0.5925856458102887
0.7192289071642699,0.7190980939098095,0.7296593404831755,0.7285031821606631,0.7356030074223697,0.7380714663588707,0.5454643389602271
0.6991744016415781,0.7098016960836179,0.707559915997371,0.7456573526347008,0.7384289584635855,0.7328501579057054,0.7217060228602574
0.7446547716378911,0.7479754404527165,0.7476718126292503,0.7600346270379454,0.7509405408871576,0.7440600201991054,0.6043594799531894
0.75053207008769,0.740174417672614,0.75053207008769,0.7540563330608058,0.7429394507767036,0.7528283556966286,0.5189525321021496
0.7223716314785424,0.7261312300613989,0.7223716314785424,0.7507440003847449,0.7494345853572517,0.7461899036534732,0.5198714310905914
