auc_vanilla,auc_causal,auc_iamb_soft,auc_cfs_iamb,auc_cfs_hiton_mb,auc_cfs_cg
0.8484528156832596,0.8443846498814788,0.8399961560638093,0.7993465308475878,0.793580626561599,0.8025498110064706
0.8434877314369915,0.8434877314369915,0.8390992376193221,0.7964956115061824,0.7938368889743097,0.8035107950541354
0.869498366327119,0.869498366327119,0.869498366327119,0.8207444423089243,0.8133448651419053,0.8142417835863924
0.8520404894612085,0.8520404894612085,0.8546351463899033,0.8353513998334294,0.8360240886667947,0.8246844769043502
0.8633480684220642,0.863924658850663,0.8633480684220642,0.8205842783009802,0.8196553270549043,0.8155230956499455
0.8708117111922609,0.8669677750016017,0.8687936446921648,0.8316355948491254,0.8218655903645332,0.8296815939522071
0.8750720738035749,0.8734384009225447,0.8719969248510475,0.8362803510795055,0.8305144467935166,0.8374014991351144
0.8579024921519636,0.8563649176757,0.8479402908578384,0.8149785380229355,0.807130501633673,0.8105580114036774
0.873214171311423,0.873214171311423,0.8693061695175861,0.845409699532321,0.837657761547825,0.8783073867640465
0.8843615862643347,0.8843615862643347,0.8793965020180665,0.8440322890640015,0.8342302517778205,0.8267666090076238
0.8862194887564867,0.8885258504708822,0.8855467999231212,0.8458261259529759,0.836184252674739,0.8477160612467166
0.8633160356204754,0.8633160356204754,0.8633160356204754,0.8199756550707924,0.8189826382215388,0.8207764751105131
0.8684733166762766,0.8661669549618809,0.8682811198667436,0.8329809725158563,0.8214171311422898,0.8346466781984753
0.8531616375168172,0.8531616375168172,0.8510795054135435,0.807130501633673,0.8001153180857198,0.8001153180857198
0.8760010250496509,0.8760010250496509,0.8760010250496509,0.8452815683259658,0.8303542827855724,0.8499583573579346
0.8811903389070408,0.8752963034146966,0.873758728938433,0.8483887500800822,0.835992055865206,0.8428791082068039
0.8454417323339098,0.8454417323339098,0.8443205842783009,0.8172848997373311,0.8144339803959255,0.8166122109039656
0.8758088282401177,0.8758088282401177,0.8703312191684285,0.8345826125952975,0.8303222499839837,0.8247165097059389
0.8542187199692485,0.8542187199692485,0.8524248830802742,0.815811390864245,0.804343647895445,0.8149785380229355
0.8327247101031457,0.8371772695239925,0.8287526427061311,0.7892241655455187,0.7795502594656929,0.8014606957524506
0.886315587161253,0.886315587161253,0.886315587161253,0.8607213786917803,0.8544109167787814,0.8608495098981357
0.8571657377154206,0.8545070151835479,0.8571657377154206,0.8281119866743545,0.8158434236658338,0.8105580114036772
0.8668716765968351,0.8668716765968353,0.8641168556601959,0.8387468768018451,0.8147863412134027,0.8390672048177334
0.8568454096995323,0.8568454096995323,0.8560445896598117,0.82932923313473,0.8307707092062273,0.8393875328336218
0.8538663591517713,0.8584150169773848,0.8538663591517713,0.8061695175860082,0.7917227240694471,0.8047921071176887
