corruption,S_precision,S_prec_sem,recall,auc,auc_sem,mu_rel
0.0,0.5911309523809524,0.037216506925492235,0.93,0.9965666666666667,0.0005613672624751256,0.01
0.1,0.6639087301587302,0.030572062545857235,0.95,0.9972,0.0008706312080639227,0.4329
0.2,0.6802777777777778,0.03828911197622177,0.9400000000000001,0.9977,0.00046257605665137096,0.17715
0.3,0.6926785714285715,0.028932934073232334,0.97,0.9973888888888889,0.0005558770999307577,0.231
0.4,0.6760119047619048,0.03450165022865742,0.9400000000000001,0.9976888888888888,0.0004648530618064482,0.09455
0.5,0.7114285714285715,0.03302884862463043,0.97,0.9978777777777778,0.0004620700941738474,0.231
0.6,0.6609722222222223,0.03496188650814414,0.89,0.9971,0.0006819829284885606,0.33195
0.7,0.5959722222222222,0.04623851017785282,0.8400000000000001,0.9972111111111112,0.0004970282054743344,0.0792
0.8,0.533531746031746,0.043212105047037146,0.79,0.9968555555555556,0.0006088528183280132,0.0351
0.9,0.5149603174603175,0.05203367147409233,0.74,0.996411111111111,0.0005786486913423389,0.0269
1.0,0.4628373015873016,0.04751921687944287,0.6900000000000001,0.9960777777777778,0.0005330591400432252,0.01
