split,k,mu_index,mu_rel,cv_auc,cv_log_loss,cv_stability
0,2,0,0.0,0.7323471637946368,0.5947006775527478,0.5999999999999999
0,2,1,0.01,0.7323471637946368,0.5947006775527478,0.5999999999999999
0,2,2,0.01873817422860384,0.7323471637946368,0.5947006775527478,0.5999999999999999
0,2,3,0.03511191734215131,0.7323471637946368,0.5947006775527478,0.5999999999999999
0,2,4,0.0657933224657568,0.7323471637946368,0.5947006775527478,0.5999999999999999
0,2,5,0.12328467394420657,0.7323471637946368,0.5947006775527478,0.5999999999999999
0,2,6,0.23101297000831592,0.7323471637946368,0.5947006775527478,0.5999999999999999
0,2,7,0.4328761281083057,0.7323471637946368,0.5947006823507078,0.5999999999999999
0,2,8,0.8111308307896868,0.7323471637946368,0.5947006841337173,0.5999999999999999
0,2,9,1.5199110829529332,0.7323471637946368,0.5947006855348019,0.5999999999999999
0,2,10,2.848035868435799,0.7323471637946368,0.5947006855348019,0.5999999999999999
0,2,11,5.336699231206307,0.7105649901670213,0.6092470088280673,0.33333333333333337
0,2,12,10.0,0.7121324133979959,0.6074582333873539,0.5999999999999999
0,4,0,0.0,0.7662534558294598,0.5751589201398042,0.5371428571428571
0,4,1,0.01,0.7662534558294598,0.5751589201398042,0.5371428571428571
0,4,2,0.01873817422860384,0.7662534558294598,0.5751589201398042,0.5371428571428571
0,4,3,0.03511191734215131,0.7662534558294598,0.5751589201398042,0.5371428571428571
0,4,4,0.0657933224657568,0.7666616190947659,0.574869576807733,0.6133333333333333
0,4,5,0.12328467394420657,0.7666616190947659,0.574869576807733,0.6133333333333333
0,4,6,0.23101297000831592,0.7666616190947659,0.574869576807733,0.6133333333333333
0,4,7,0.4328761281083057,0.7657178845916188,0.5760349006805404,0.6399999999999999
0,4,8,0.8111308307896868,0.7653062881773522,0.5752398910705061,0.6799999999999999
0,4,9,1.5199110829529332,0.7418219912978318,0.595810944402148,0.3076190476190476
0,4,10,2.848035868435799,0.7363410604187071,0.5981954045663022,0.3026190476190477
0,4,11,5.336699231206307,0.7193099713475645,0.6077058409522608,0.45
0,4,12,10.0,0.7152348356753181,0.6103658844806679,0.45999999999999996
0,6,0,0.0,0.776166547013639,0.5672142256435826,0.6476190476190476
0,6,1,0.01,0.776166547013639,0.5672142256435866,0.6476190476190476
0,6,2,0.01873817422860384,0.776166547013639,0.5672142256435865,0.6476190476190476
0,6,3,0.03511191734215131,0.776166547013639,0.5672142256435866,0.6476190476190476
0,6,4,0.0657933224657568,0.7776592474646059,0.5656052959661453,0.520952380952381
0,6,5,0.12328467394420657,0.7768097338273753,0.5673469618276374,0.5761904761904761
0,6,6,0.23101297000831592,0.7763543986953176,0.5668555312081454,0.7357142857142858
0,6,7,0.4328761281083057,0.7694219265780449,0.5734870589631154,0.6357142857142858
0,6,8,0.8111308307896868,0.7718795976229408,0.5711517141299737,0.8857142857142858
