param,value,seed,model,sd,sc,shd,fpr,tpr,f1,f1_bin_bin,precision_bin_bin,recall_bin_bin,f1_bin_cont,precision_bin_cont,recall_bin_cont
n_mix,2,0,gaussian,0.6,0.6315873015873016,0.3333333333333333,0.022222222222222223,0.2,0.2857142857142857,0.0,0.0,0.0,0.6666666666666666,0.5,1.0
n_mix,2,0,logistic,0.6444444444444445,0.670952380952381,0.28888888888888886,0.0,0.2,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0
n_mix,2,1,gaussian,0.8888888888888888,0.7291269841269842,0.5333333333333333,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,2,1,logistic,0.8666666666666667,0.6645767195767197,0.4,0.011111111111111112,0.2,0.3076923076923077,0.2727272727272727,0.6,0.17647058823529413,0.0,0.0,0.0
n_mix,2,2,gaussian,0.5111111111111111,0.43686948853615515,0.26666666666666666,0.020833333333333332,0.0,0.0,0.15384615384615383,0.3333333333333333,0.1,0.0,0.0,0.0
n_mix,2,2,logistic,0.28888888888888886,0.39242504409171075,0.2,0.0,0.25,0.4,0.28571428571428575,0.5,0.2,0.4,0.25,1.0
n_mix,2,3,gaussian,0.7555555555555555,0.7171957671957673,0.4222222222222222,0.021052631578947368,0.2,0.25,0.0,0.0,0.0,0.5,0.3333333333333333,1.0
n_mix,2,3,logistic,0.5777777777777777,0.429047619047619,0.37777777777777777,0.021052631578947368,0.0,0.0,0.3333333333333333,0.5714285714285714,0.23529411764705882,0.0,0.0,0.0
n_mix,2,4,gaussian,0.6222222222222222,0.5606084656084656,0.37777777777777777,0.0,0.25,0.4,0.18181818181818182,0.25,0.14285714285714285,0.36363636363636365,0.25,0.6666666666666666
n_mix,2,4,logistic,0.7111111111111111,0.5224338624338624,0.3111111111111111,0.011363636363636364,0.3333333333333333,0.47058823529411764,0.2857142857142857,0.42857142857142855,0.21428571428571427,0.4,0.2857142857142857,0.6666666666666666
n_mix,2,5,gaussian,0.7333333333333333,0.6742328042328043,0.37777777777777777,0.011235955056179775,0.2727272727272727,0.4,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.5,1.0
n_mix,2,5,logistic,0.6666666666666666,0.5882539682539681,0.35555555555555557,0.011235955056179775,0.2727272727272727,0.4,0.24,0.42857142857142855,0.16666666666666666,0.6,0.42857142857142855,1.0
n_mix,2,6,gaussian,0.7333333333333333,0.508888888888889,0.28888888888888886,0.01098901098901099,0.0,0.0,0.13333333333333336,0.5,0.07692307692307693,0.0,0.0,0.0
n_mix,2,6,logistic,0.4888888888888889,0.482962962962963,0.28888888888888886,0.02197802197802198,0.2222222222222222,0.3076923076923077,0.23529411764705882,0.5,0.15384615384615385,0.0,0.0,0.0
n_mix,2,7,gaussian,0.7333333333333333,0.5711375661375662,0.4,0.031914893617021274,0.16666666666666666,0.2,0.0,0.0,0.0,0.25,0.16666666666666666,0.5
n_mix,2,7,logistic,0.5333333333333333,0.5011375661375661,0.28888888888888886,0.02127659574468085,0.5,0.5454545454545454,0.28571428571428575,0.3333333333333333,0.25,0.3636363636363636,0.2222222222222222,1.0
n_mix,2,8,gaussian,0.4444444444444444,0.39666666666666667,0.28888888888888886,0.021505376344086023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,2,8,logistic,0.26666666666666666,0.312962962962963,0.2,0.021505376344086023,0.42857142857142855,0.5,0.4,0.5,0.3333333333333333,0.0,0.0,0.0
n_mix,2,9,gaussian,0.6,0.5658465608465608,0.4444444444444444,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,2,9,logistic,0.4888888888888889,0.2818253968253968,0.28888888888888886,0.0,0.0,0.0,0.4800000000000001,0.6666666666666666,0.375,0.0,0.0,0.0
n_mix,3,0,gaussian,0.7555555555555555,0.6431216931216931,0.3333333333333333,0.0,0.2,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.5,1.0
n_mix,3,0,logistic,0.7555555555555555,0.6376190476190478,0.3333333333333333,0.0,0.2,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.5,1.0
n_mix,3,1,gaussian,0.9111111111111111,0.7434479717813053,0.4666666666666667,0.011111111111111112,0.0,0.0,0.09523809523809523,0.25,0.058823529411764705,0.0,0.0,0.0
n_mix,3,1,logistic,0.7777777777777778,0.6523015873015873,0.37777777777777777,0.011111111111111112,0.4,0.5333333333333333,0.2608695652173913,0.5,0.17647058823529413,0.25,0.16666666666666666,0.5
n_mix,3,2,gaussian,0.6444444444444445,0.5224779541446208,0.3333333333333333,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,3,2,logistic,0.26666666666666666,0.3479805996472663,0.17777777777777778,0.010416666666666666,0.25,0.3333333333333333,0.4,0.6,0.3,0.33333333333333337,0.2,1.0
n_mix,3,3,gaussian,0.7333333333333333,0.6920105820105821,0.37777777777777777,0.010526315789473684,0.2,0.2857142857142857,0.1,0.3333333333333333,0.058823529411764705,0.5,0.3333333333333333,1.0
n_mix,3,3,logistic,0.4,0.4105291005291006,0.2222222222222222,0.0,0.2,0.3333333333333333,0.56,0.875,0.4117647058823529,0.2222222222222222,0.125,1.0
n_mix,3,4,gaussian,0.6,0.6430158730158729,0.35555555555555557,0.0,0.25,0.4,0.0,0.0,0.0,0.7499999999999999,0.6,1.0
n_mix,3,4,logistic,0.5333333333333333,0.49105820105820097,0.3111111111111111,0.011363636363636364,0.4166666666666667,0.5555555555555556,0.2608695652173913,0.3333333333333333,0.21428571428571427,0.5,0.3333333333333333,1.0
n_mix,3,5,gaussian,0.8222222222222222,0.6389594356261025,0.5111111111111111,0.02247191011235955,0.18181818181818182,0.26666666666666666,0.0,0.0,0.0,0.4444444444444444,0.3333333333333333,0.6666666666666666
n_mix,3,5,logistic,0.8444444444444444,0.6438095238095237,0.4222222222222222,0.02247191011235955,0.18181818181818182,0.26666666666666666,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.6666666666666666
n_mix,3,6,gaussian,0.7555555555555555,0.5385185185185185,0.3111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,3,6,logistic,0.7555555555555555,0.49407407407407405,0.3333333333333333,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,3,7,gaussian,0.6,0.591878306878307,0.28888888888888886,0.010638297872340425,0.3333333333333333,0.4444444444444444,0.0,0.0,0.0,0.8,0.6666666666666666,1.0
n_mix,3,7,logistic,0.4,0.5044708994708995,0.17777777777777778,0.0,0.5,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,1.0
n_mix,3,8,gaussian,0.37777777777777777,0.47518518518518515,0.28888888888888886,0.03225806451612903,0.14285714285714285,0.18181818181818182,0.13333333333333333,0.16666666666666666,0.1111111111111111,0.0,0.0,0.0
n_mix,3,8,logistic,0.3333333333333333,0.38925925925925925,0.26666666666666666,0.03225806451612903,0.14285714285714285,0.18181818181818182,0.14285714285714285,0.2,0.1111111111111111,0.0,0.0,0.0
n_mix,3,9,gaussian,0.6888888888888889,0.5425661375661375,0.4222222222222222,0.021739130434782608,0.0,0.0,0.09523809523809523,0.2,0.0625,0.0,0.0,0.0
n_mix,3,9,logistic,0.6222222222222222,0.3865873015873016,0.35555555555555557,0.021739130434782608,0.0,0.0,0.2727272727272727,0.5,0.1875,0.0,0.0,0.0
n_mix,4,0,gaussian,0.7111111111111111,0.5686243386243387,0.37777777777777777,0.0,0.2,0.3333333333333333,0.0,0.0,0.0,0.5,0.3333333333333333,1.0
n_mix,4,0,logistic,0.7111111111111111,0.60984126984127,0.3111111111111111,0.0,0.3,0.46153846153846156,0.1111111111111111,0.2,0.07692307692307693,0.5714285714285715,0.4,1.0
n_mix,4,1,gaussian,0.9333333333333333,0.7883333333333333,0.4888888888888889,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,4,1,logistic,0.9333333333333333,0.7838359788359788,0.4444444444444444,0.0,0.1,0.18181818181818182,0.1,0.3333333333333333,0.058823529411764705,0.0,0.0,0.0
n_mix,4,2,gaussian,0.6222222222222222,0.4590917107583774,0.26666666666666666,0.010416666666666666,0.0,0.0,0.15384615384615383,0.3333333333333333,0.1,0.0,0.0,0.0
n_mix,4,2,logistic,0.5555555555555556,0.3739065255731922,0.26666666666666666,0.020833333333333332,0.0,0.0,0.26666666666666666,0.4,0.2,0.0,0.0,0.0
n_mix,4,3,gaussian,0.8888888888888888,0.6771957671957671,0.4444444444444444,0.031578947368421054,0.2,0.2222222222222222,0.09523809523809523,0.25,0.058823529411764705,0.0,0.0,0.0
n_mix,4,3,logistic,0.5111111111111111,0.35126984126984123,0.3111111111111111,0.010526315789473684,0.0,0.0,0.48,0.75,0.35294117647058826,0.0,0.0,0.0
n_mix,4,4,gaussian,0.7111111111111111,0.6521164021164021,0.35555555555555557,0.0,0.25,0.4,0.10526315789473682,0.2,0.07142857142857142,0.5,0.4,0.6666666666666666
n_mix,4,4,logistic,0.5333333333333333,0.41629629629629633,0.3333333333333333,0.03409090909090909,0.4166666666666667,0.5,0.25,0.3,0.21428571428571427,0.4615384615384615,0.3,1.0
n_mix,4,5,gaussian,0.6888888888888889,0.6195943562610229,0.4,0.011235955056179775,0.36363636363636365,0.5,0.16,0.2857142857142857,0.1111111111111111,0.6,0.42857142857142855,1.0
n_mix,4,5,logistic,0.6666666666666666,0.5849735449735449,0.3111111111111111,0.0,0.2727272727272727,0.42857142857142855,0.32,0.5714285714285714,0.2222222222222222,0.6,0.42857142857142855,1.0
n_mix,4,6,gaussian,0.8,0.5385185185185185,0.28888888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,4,6,logistic,0.7111111111111111,0.5192592592592592,0.4,0.02197802197802198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,4,7,gaussian,0.4888888888888889,0.5825132275132276,0.28888888888888886,0.010638297872340425,0.3333333333333333,0.4444444444444444,0.11764705882352941,0.2,0.08333333333333333,0.5714285714285715,0.4,1.0
n_mix,4,7,logistic,0.5111111111111111,0.5378042328042327,0.2,0.0,0.5,0.6666666666666666,0.35294117647058826,0.6,0.25,0.5714285714285715,0.4,1.0
n_mix,4,8,gaussian,0.4222222222222222,0.4077777777777778,0.24444444444444444,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,4,8,logistic,0.28888888888888886,0.3425925925925926,0.17777777777777778,0.021505376344086023,0.42857142857142855,0.5,0.42857142857142855,0.6,0.3333333333333333,0.0,0.0,0.0
n_mix,4,9,gaussian,0.6444444444444445,0.5787566137566138,0.4222222222222222,0.03260869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,4,9,logistic,0.4444444444444444,0.32955026455026454,0.3333333333333333,0.03260869565217391,0.0,0.0,0.34782608695652173,0.5714285714285714,0.25,0.0,0.0,0.0
n_mix,5,0,gaussian,0.7111111111111111,0.62989417989418,0.3333333333333333,0.011111111111111112,0.2,0.3076923076923077,0.11764705882352941,0.25,0.07692307692307693,0.3333333333333333,0.25,0.5
n_mix,5,0,logistic,0.5111111111111111,0.49465608465608457,0.26666666666666666,0.0,0.5,0.6666666666666666,0.3,0.42857142857142855,0.23076923076923078,0.4444444444444445,0.2857142857142857,1.0
n_mix,5,1,gaussian,0.9333333333333333,0.7816137566137566,0.4444444444444444,0.0,0.0,0.0,0.1,0.3333333333333333,0.058823529411764705,0.0,0.0,0.0
n_mix,5,1,logistic,0.8444444444444444,0.7705026455026455,0.4,0.0,0.2,0.3333333333333333,0.2,0.6666666666666666,0.11764705882352941,0.0,0.0,0.0
n_mix,5,2,gaussian,0.8,0.4590917107583774,0.28888888888888886,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,5,2,logistic,0.6444444444444445,0.4313139329805996,0.28888888888888886,0.03125,0.0,0.0,0.14285714285714288,0.25,0.1,0.0,0.0,0.0
n_mix,5,3,gaussian,0.8888888888888888,0.6212698412698413,0.4444444444444444,0.021052631578947368,0.0,0.0,0.09523809523809523,0.25,0.058823529411764705,0.0,0.0,0.0
n_mix,5,3,logistic,0.6444444444444445,0.44756613756613756,0.3111111111111111,0.010526315789473684,0.0,0.0,0.4347826086956522,0.8333333333333334,0.29411764705882354,0.0,0.0,0.0
n_mix,5,4,gaussian,0.6888888888888889,0.5927513227513228,0.4222222222222222,0.022727272727272728,0.16666666666666666,0.25,0.09090909090909091,0.125,0.07142857142857142,0.36363636363636365,0.25,0.6666666666666666
n_mix,5,4,logistic,0.5333333333333333,0.5128042328042327,0.2222222222222222,0.0,0.5,0.6666666666666666,0.4761904761904762,0.7142857142857143,0.35714285714285715,0.4,0.2857142857142857,0.6666666666666666
n_mix,5,5,gaussian,0.7111111111111111,0.6074250440917108,0.4444444444444444,0.02247191011235955,0.2727272727272727,0.375,0.08,0.14285714285714285,0.05555555555555555,0.6,0.42857142857142855,1.0
n_mix,5,5,logistic,0.7111111111111111,0.6355202821869489,0.37777777777777777,0.0,0.2727272727272727,0.42857142857142855,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.5,1.0
n_mix,5,6,gaussian,0.6,0.5362962962962963,0.3333333333333333,0.02197802197802198,0.1111111111111111,0.16666666666666666,0.11764705882352941,0.25,0.07692307692307693,0.0,0.0,0.0
n_mix,5,6,logistic,0.7333333333333333,0.49407407407407405,0.24444444444444444,0.0,0.2222222222222222,0.36363636363636365,0.2666666666666667,1.0,0.15384615384615385,0.0,0.0,0.0
n_mix,5,7,gaussian,0.6,0.5600264550264551,0.3333333333333333,0.02127659574468085,0.3333333333333333,0.4,0.11764705882352941,0.2,0.08333333333333333,0.28571428571428575,0.2,0.5
n_mix,5,7,logistic,0.4444444444444444,0.5273809523809523,0.24444444444444444,0.010638297872340425,0.5,0.6,0.3157894736842105,0.42857142857142855,0.25,0.4444444444444445,0.2857142857142857,1.0
