seed,arm,mu_rel,auc_source,auc_SD
0,vanilla,0.0,0.873065628850423,0.7417631935294978
0,causal,1.0,0.8760754045149347,0.7453257667252232
0,causal,4.0,0.8760754045149347,0.7453257667252232
0,cfs_iamb,,0.645749313821809,0.633527302005563
0,cfs_hiton_mb,,0.645749313821809,0.633527302005563
0,cfs_cg,,0.7222276501314457,0.5817310331576636
1,vanilla,0.0,0.8679690690077582,0.7647535133948177
1,causal,1.0,0.8629524441462987,0.7566711041575173
1,causal,4.0,0.8629524441462987,0.7566711041575173
1,cfs_iamb,,0.6703501429154757,0.6122456448543404
1,cfs_hiton_mb,,0.6703501429154757,0.6122456448543404
1,cfs_cg,,0.7487768331097241,0.5700574586444151
