seed,p,n,k_star,p_edge,K,q_name,mu_rel,mu,k_exact,k_beam,beam_match,jaccard,obj_gap,exact_is_Sstar,beam_recovers_Sstar,S_exact,S_beam
0,30,300,5,0.2,5,vanilla,0.0,0.0,5,5,0,0.6666666666666666,0.8152652001764977,0,0,"[2, 10, 16, 17, 27]","[2, 7, 10, 16, 17]"
0,30,300,5,0.2,5,oracle@0.5,0.5,132.46054399366363,5,5,0,0.6666666666666666,130.11143674459686,1,0,"[2, 10, 17, 21, 22]","[2, 10, 17, 18, 22]"
0,30,300,5,0.2,5,ges@0.5,0.5,132.46054399366363,5,5,0,0.6666666666666666,26.792212429539234,1,0,"[2, 10, 17, 21, 22]","[2, 10, 17, 18, 22]"
0,30,300,5,0.2,5,oracle@2.0,2.0,529.8421759746545,5,5,0,0.6666666666666666,527.4930687255878,1,0,"[2, 10, 17, 21, 22]","[2, 10, 17, 18, 22]"
0,30,300,5,0.2,5,ges@2.0,2.0,529.8421759746545,5,5,0,0.6666666666666666,114.21617146535709,1,0,"[2, 10, 17, 21, 22]","[2, 10, 17, 18, 22]"
1,30,300,5,0.2,5,vanilla,0.0,0.0,5,5,1,1.0,0.0,1,1,"[1, 7, 13, 15, 27]","[1, 7, 13, 15, 27]"
1,30,300,5,0.2,5,oracle@0.5,0.5,64.47632590015576,5,5,1,1.0,0.0,1,1,"[1, 7, 13, 15, 27]","[1, 7, 13, 15, 27]"
1,30,300,5,0.2,5,ges@0.5,0.5,64.47632590015576,5,5,1,1.0,0.0,1,1,"[1, 7, 13, 15, 27]","[1, 7, 13, 15, 27]"
1,30,300,5,0.2,5,oracle@2.0,2.0,257.90530360062303,5,5,1,1.0,0.0,1,1,"[1, 7, 13, 15, 27]","[1, 7, 13, 15, 27]"
1,30,300,5,0.2,5,ges@2.0,2.0,257.90530360062303,5,5,1,1.0,0.0,1,1,"[1, 7, 13, 15, 27]","[1, 7, 13, 15, 27]"
2,30,300,5,0.2,5,vanilla,0.0,0.0,5,4,0,0.5,7.033327041489425,0,0,"[0, 2, 10, 14, 29]","[2, 10, 14, 19]"
2,30,300,5,0.2,5,oracle@0.5,0.5,76.52516137856111,5,5,0,0.6666666666666666,75.2733354495673,1,0,"[2, 8, 10, 14, 29]","[0, 2, 10, 14, 29]"
2,30,300,5,0.2,5,ges@0.5,0.5,76.52516137856111,5,5,0,0.6666666666666666,73.74283222199608,1,0,"[2, 8, 10, 14, 29]","[0, 2, 10, 14, 29]"
2,30,300,5,0.2,5,oracle@2.0,2.0,306.10064551424443,5,5,0,0.6666666666666666,304.8488195852508,1,0,"[2, 8, 10, 14, 29]","[0, 2, 10, 14, 29]"
2,30,300,5,0.2,5,ges@2.0,2.0,306.10064551424443,5,5,1,1.0,0.0,1,1,"[2, 8, 10, 14, 29]","[2, 8, 10, 14, 29]"
3,30,300,5,0.2,5,vanilla,0.0,0.0,5,5,0,0.25,5.6897110726786835,1,0,"[1, 3, 7, 15, 16]","[0, 5, 15, 16, 23]"
3,30,300,5,0.2,5,oracle@0.5,0.5,44.52920347032828,5,5,1,1.0,0.0,1,1,"[1, 3, 7, 15, 16]","[1, 3, 7, 15, 16]"
3,30,300,5,0.2,5,ges@0.5,0.5,44.52920347032828,5,5,0,0.6666666666666666,8.648223935759802,0,0,"[1, 5, 15, 16, 20]","[3, 5, 15, 16, 20]"
3,30,300,5,0.2,5,oracle@2.0,2.0,178.1168138813131,5,5,1,1.0,0.0,1,1,"[1, 3, 7, 15, 16]","[1, 3, 7, 15, 16]"
3,30,300,5,0.2,5,ges@2.0,2.0,178.1168138813131,5,4,0,0.2857142857142857,152.5669691348462,0,0,"[1, 15, 16, 18, 26]","[5, 15, 16, 20]"
4,30,300,5,0.2,5,vanilla,0.0,0.0,5,4,0,0.8,0.9107071652292014,1,0,"[7, 8, 20, 27, 29]","[8, 20, 27, 29]"
4,30,300,5,0.2,5,oracle@0.5,0.5,51.675646902522644,5,5,0,0.6666666666666666,52.18841429119851,1,0,"[7, 8, 20, 27, 29]","[8, 9, 20, 27, 29]"
4,30,300,5,0.2,5,ges@0.5,0.5,51.675646902522644,5,5,0,0.6666666666666666,45.987336662895785,1,0,"[7, 8, 20, 27, 29]","[8, 9, 20, 27, 29]"
4,30,300,5,0.2,5,oracle@2.0,2.0,206.70258761009057,5,5,0,0.6666666666666666,207.21535499876654,1,0,"[7, 8, 20, 27, 29]","[8, 9, 20, 27, 29]"
4,30,300,5,0.2,5,ges@2.0,2.0,206.70258761009057,5,5,0,0.6666666666666666,182.41104448555564,1,0,"[7, 8, 20, 27, 29]","[8, 9, 20, 27, 29]"
